[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 10 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 85 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 111 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 125 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 86 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 126 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 114 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 112 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 132 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 141 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 131 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 303 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 289 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 261 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 290 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 304 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 142 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 310 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 309 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 331 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 332 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 426 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 425 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 395 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 349 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 428 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 427 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 429 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 430 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 467 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 468 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 491 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 492 | TC_APLICADO: 7.898
[2026-03-28 12:55:20] - BANCO_ID: 1 | CUENTA_ID: 519 | TC_APLICADO: 7.898
